Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1560022926829, 369925, 404, 447, 556
1560022926843, 369938, 404, 446, 553
1560022926855, 369951, 402, 441, 557
1560022926867, 369963, 399, 441, 560
1560022926881, 369976, 394, 442, 561
1560022926893, 369989, 394, 443, 561
1560022926906, 370001, 404, 443, 560
1560022926919, 370014, 406, 444, 558
1560022926932, 370027, 408, 448, 555
1560022926944, 370040, 411, 447, 553
1560022926957, 370052, 413, 448, 550
1560022926969, 370065, 411, 448, 548
1560022926982, 370078, 412, 450, 550
1560022926994, 370090, 412, 449, 549
1560022927008, 370103, 409, 450, 552
1560022927020, 370116, 406, 450, 555
1560022927033, 370128, 407, 448, 557
1560022927045, 370141, 406, 452, 560
1560022927059, 370154, 406, 450, 560
1560022927071, 370166, 406, 450, 560
1560022927083, 370179, 407, 448, 556
1560022927097, 370192, 406, 448, 556
1560022927109, 370205, 407, 447, 558
1560022927122, 370217, 406, 448, 558
1560022927134, 370230, 405, 450, 558
1560022927147, 370243, 408, 450, 554
1560022927160, 370255, 408, 448, 556
1560022927172, 370268, 408, 449, 555
1560022927184, 370281, 407, 450, 555
1560022927198, 370293, 408, 448, 556
1560022927211, 370306, 406, 449, 558
1560022927223, 370319, 406, 447, 560
1560022927235, 370332, 402, 444, 560
1560022927250, 370344, 403, 445, 557
1560022927262, 370357, 404, 444, 557
1560022927274, 370370, 407, 445, 557
1560022927286, 370382, 407, 450, 556
1560022927299, 370395, 409, 448, 555
1560022927313, 370408, 410, 449, 553
1560022927324, 370420, 406, 447, 553
1560022927338, 370433, 401, 446, 558
1560022927351, 370446, 402, 448, 558
1560022927363, 370458, 405, 448, 559
1560022927376, 370471, 405, 447, 558
1560022927388, 370484, 406, 448, 556
1560022927401, 370497, 404, 448, 555
1560022927414, 370509, 403, 445, 557
1560022927427, 370522, 405, 448, 556
1560022927439, 370535, 405, 447, 556
1560022927452, 370547, 403, 448, 555
1560022927466, 370560, 407, 448, 556
1560022927477, 370573, 406, 446, 554
1560022927489, 370585, 404, 445, 554
1560022927503, 370598, 405, 445, 553
1560022927516, 370611, 406, 446, 554
1560022927528, 370624, 405, 445, 554
1560022927541, 370636, 403, 446, 555
1560022927554, 370649, 404, 446, 556
1560022927567, 370662, 403, 446, 556
1560022927578, 370674, 406, 445, 554
1560022927592, 370687, 404, 447, 554
1560022927605, 370700, 403, 445, 553
1560022927617, 370712, 402, 447, 555
1560022927629, 370725, 404, 446, 553
1560022927642, 370738, 403, 447, 555
1560022927655, 370750, 402, 445, 556
1560022927667, 370763, 403, 447, 554
1560022927681, 370776, 403, 448, 557
1560022927694, 370789, 406, 449, 556
1560022927707, 370801, 404, 447, 557
1560022927719, 370814, 403, 447, 555
1560022927731, 370827, 405, 447, 556
1560022927744, 370839, 406, 448, 555
1560022927756, 370852, 407, 448, 557
1560022927769, 370865, 403, 445, 555
1560022927782, 370877, 406, 447, 557
1560022927795, 370890, 403, 446, 559
1560022927808, 370903, 403, 447, 559
1560022927821, 370916, 404, 446, 558
1560022927833, 370928, 408, 447, 557
1560022927845, 370941, 410, 446, 556
1560022927859, 370954, 407, 446, 556
1560022927871, 370966, 408, 447, 554
1560022927884, 370979, 406, 446, 553
1560022927897, 370992, 406, 447, 556
1560022927909, 371004, 405, 452, 558
1560022927921, 371017, 405, 452, 558
1560022927936, 371030, 408, 452, 557
1560022927948, 371042, 409, 452, 555
