Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1560023363292, 806377, 401, 484, 547
1560023363306, 806390, 399, 480, 547
1560023363318, 806403, 398, 483, 546
1560023363330, 806416, 394, 481, 550
1560023363344, 806428, 394, 489, 556
1560023363356, 806441, 402, 491, 560
1560023363369, 806454, 406, 493, 559
1560023363382, 806466, 409, 492, 555
1560023363395, 806479, 407, 488, 549
1560023363407, 806492, 409, 484, 548
1560023363419, 806504, 407, 484, 547
1560023363432, 806517, 407, 486, 550
1560023363446, 806530, 410, 485, 552
1560023363458, 806542, 404, 487, 555
1560023363471, 806555, 404, 488, 554
1560023363483, 806568, 409, 487, 557
1560023363496, 806581, 414, 490, 555
1560023363509, 806593, 413, 485, 552
1560023363522, 806606, 413, 485, 549
1560023363534, 806619, 413, 483, 550
1560023363547, 806631, 408, 485, 552
1560023363560, 806644, 405, 486, 555
1560023363573, 806657, 404, 490, 557
1560023363585, 806669, 405, 493, 559
1560023363598, 806682, 410, 491, 559
1560023363611, 806695, 411, 489, 552
1560023363623, 806708, 411, 486, 550
1560023363635, 806720, 410, 484, 549
1560023363649, 806733, 407, 486, 554
1560023363661, 806746, 406, 486, 557
1560023363673, 806758, 405, 489, 559
1560023363687, 806771, 405, 491, 559
1560023363700, 806784, 411, 491, 558
1560023363712, 806796, 411, 489, 556
1560023363724, 806809, 414, 483, 553
1560023363736, 806822, 412, 483, 551
1560023363751, 806834, 408, 485, 553
1560023363763, 806847, 405, 486, 557
1560023363775, 806860, 404, 487, 560
1560023363788, 806873, 408, 487, 560
1560023363801, 806885, 408, 487, 560
1560023363814, 806898, 408, 485, 557
1560023363826, 806911, 411, 485, 552
1560023363838, 806923, 410, 482, 550
1560023363851, 806936, 409, 483, 550
1560023363863, 806949, 407, 482, 551
1560023363877, 806961, 405, 483, 555
1560023363889, 806974, 404, 488, 558
1560023363903, 806987, 407, 489, 560
1560023363915, 807000, 408, 489, 558
1560023363928, 807012, 412, 487, 555
1560023363940, 807025, 412, 484, 552
1560023363954, 807038, 412, 485, 551
1560023363966, 807050, 411, 484, 553
1560023363979, 807063, 407, 485, 556
1560023363991, 807076, 404, 489, 558
1560023364004, 807088, 406, 489, 563
1560023364018, 807101, 410, 489, 560
1560023364028, 807114, 411, 487, 558
1560023364042, 807126, 410, 485, 555
1560023364055, 807139, 410, 483, 554
1560023364068, 807152, 410, 484, 554
1560023364080, 807165, 412, 487, 553
1560023364092, 807177, 410, 485, 555
1560023364106, 807190, 405, 485, 558
1560023364119, 807203, 407, 489, 561
1560023364130, 807215, 406, 488, 561
1560023364144, 807228, 407, 488, 560
1560023364157, 807241, 412, 485, 557
1560023364169, 807253, 413, 483, 555
1560023364182, 807266, 413, 483, 554
1560023364195, 807279, 409, 483, 554
1560023364207, 807291, 407, 485, 555
1560023364219, 807304, 406, 486, 560
1560023364232, 807317, 408, 491, 563
1560023364244, 807330, 407, 488, 562
1560023364257, 807342, 411, 489, 558
1560023364271, 807355, 411, 488, 553
1560023364283, 807368, 412, 486, 552
1560023364295, 807380, 411, 486, 552
