Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1560023123473, 566563, 412, 469, 570
1560023123484, 566576, 414, 469, 569
1560023123497, 566588, 412, 465, 564
1560023123511, 566601, 413, 461, 561
1560023123524, 566614, 414, 456, 557
1560023123536, 566626, 409, 454, 556
1560023123549, 566639, 410, 456, 557
1560023123561, 566652, 408, 459, 560
1560023123574, 566665, 409, 459, 562
1560023123586, 566677, 409, 456, 562
1560023123599, 566690, 409, 456, 562
1560023123611, 566703, 413, 458, 560
1560023123626, 566715, 410, 457, 560
1560023123637, 566728, 409, 458, 561
1560023123650, 566741, 407, 456, 565
1560023123663, 566753, 413, 455, 570
1560023123677, 566766, 410, 455, 573
1560023123688, 566779, 405, 452, 570
1560023123701, 566791, 403, 452, 561
1560023123713, 566804, 408, 453, 558
1560023123726, 566817, 410, 455, 555
1560023123738, 566830, 412, 460, 558
1560023123751, 566842, 411, 463, 558
1560023123764, 566855, 412, 464, 564
1560023123777, 566868, 414, 465, 561
1560023123790, 566880, 412, 466, 561
1560023123803, 566893, 413, 464, 560
1560023123815, 566906, 411, 464, 559
1560023123828, 566918, 410, 461, 564
1560023123840, 566931, 411, 462, 561
1560023123852, 566944, 412, 461, 561
1560023123866, 566957, 412, 459, 560
1560023123878, 566969, 411, 461, 560
1560023123891, 566982, 411, 460, 559
1560023123904, 566995, 409, 457, 559
1560023123916, 567007, 409, 457, 560
1560023123930, 567020, 412, 459, 560
1560023123942, 567033, 412, 459, 561
1560023123955, 567045, 413, 459, 564
1560023123967, 567058, 412, 461, 562
1560023123982, 567071, 411, 461, 560
1560023123993, 567083, 414, 460, 559
1560023124006, 567096, 410, 457, 558
1560023124019, 567109, 407, 457, 562
1560023124031, 567122, 408, 459, 563
1560023124043, 567134, 411, 462, 562
1560023124057, 567147, 412, 458, 560
1560023124069, 567160, 411, 459, 558
1560023124081, 567172, 410, 458, 558
1560023124095, 567185, 409, 458, 560
1560023124107, 567198, 405, 458, 558
1560023124120, 567210, 404, 457, 562
1560023124132, 567223, 405, 458, 561
1560023124146, 567236, 408, 460, 559
1560023124158, 567249, 409, 461, 558
1560023124170, 567261, 408, 462, 558
1560023124184, 567274, 408, 460, 556
1560023124195, 567287, 406, 463, 557
1560023124209, 567299, 408, 461, 557
1560023124222, 567312, 404, 460, 558
1560023124234, 567325, 402, 458, 559
1560023124247, 567337, 403, 458, 561
1560023124259, 567350, 404, 461, 562
1560023124271, 567363, 405, 461, 561
1560023124285, 567375, 408, 461, 560
1560023124297, 567388, 407, 460, 558
1560023124311, 567401, 406, 458, 558
1560023124323, 567414, 405, 456, 556
1560023124336, 567426, 402, 457, 556
1560023124349, 567439, 403, 455, 558
1560023124362, 567452, 401, 459, 560
1560023124374, 567464, 403, 459, 561
1560023124386, 567477, 406, 459, 561
1560023124400, 567490, 406, 458, 559
1560023124412, 567502, 407, 458, 556
1560023124424, 567515, 408, 459, 555
1560023124438, 567528, 406, 456, 555
1560023124450, 567541, 404, 456, 556
1560023124463, 567553, 403, 459, 557
1560023124475, 567566, 403, 458, 558
1560023124488, 567579, 403, 460, 562
1560023124501, 567591, 404, 460, 561
1560023124514, 567604, 408, 460, 560
1560023124526, 567617, 408, 458, 557
1560023124539, 567629, 405, 456, 557
1560023124551, 567642, 406, 455, 554
1560023124565, 567655, 403, 456, 556
1560023124578, 567667, 402, 458, 561
1560023124589, 567680, 401, 459, 561
1560023124603, 567693, 401, 461, 560
1560023124615, 567706, 403, 458, 559
1560023124627, 567718, 406, 460, 558
1560023124640, 567731, 406, 459, 557
1560023124653, 567744, 404, 457, 558
1560023124666, 567756, 403, 457, 556
1560023124679, 567769, 401, 457, 557
1560023124691, 567782, 400, 458, 558
1560023124704, 567794, 401, 457, 559
1560023124716, 567807, 406, 457, 557
1560023124730, 567820, 408, 457, 556
1560023124743, 567833, 407, 456, 557
1560023124754, 567845, 404, 456, 560
1560023124767, 567858, 404, 460, 563
1560023124780, 567871, 402, 461, 563
1560023124793, 567883, 402, 460, 564
1560023124805, 567896, 402, 462, 560
1560023124817, 567909, 401, 461, 555
1560023124831, 567921, 402, 462, 552
1560023124844, 567934, 402, 459, 549
1560023124856, 567947, 402, 457, 544
1560023124868, 567959, 401, 458, 544
1560023124882, 567972, 403, 459, 547
1560023124895, 567985, 401, 460, 546
1560023124907, 567998, 399, 462, 549
1560023124919, 568010, 398, 464, 550
1560023124933, 568023, 399, 463, 551
1560023124946, 568036, 403, 465, 552
1560023124958, 568048, 404, 464, 551
1560023124970, 568061, 400, 463, 549
1560023124984, 568074, 398, 463, 550
1560023124996, 568086, 398, 463, 551
1560023125008, 568099, 400, 465, 555
1560023125021, 568112, 400, 466, 551
1560023125034, 568125, 400, 465, 552
1560023125047, 568137, 400, 467, 551
1560023125059, 568150, 397, 467, 554
1560023125071, 568163, 389, 469, 555
1560023125085, 568175, 389, 468, 559
1560023125098, 568188, 395, 467, 558
1560023125110, 568201, 401, 467, 556
1560023125123, 568213, 405, 464, 553
1560023125136, 568226, 404, 462, 549
1560023125148, 568239, 404, 460, 549
1560023125161, 568251, 403, 461, 550
1560023125174, 568264, 401, 459, 553
1560023125188, 568277, 404, 462, 556
1560023125200, 568290, 401, 461, 558
1560023125212, 568302, 403, 463, 561
