Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1560022889531, 332626, 400, 449, 552
1560022889544, 332639, 398, 451, 556
1560022889555, 332652, 398, 450, 554
1560022889569, 332665, 401, 449, 555
1560022889581, 332677, 403, 451, 552
1560022889594, 332690, 403, 450, 550
1560022889606, 332703, 403, 449, 552
1560022889620, 332715, 402, 449, 552
1560022889632, 332728, 396, 450, 554
1560022889645, 332741, 400, 452, 554
1560022889657, 332753, 398, 451, 556
1560022889670, 332766, 400, 450, 553
1560022889683, 332779, 404, 452, 553
1560022889695, 332791, 402, 453, 552
1560022889707, 332804, 401, 454, 552
1560022889720, 332817, 402, 451, 551
1560022889733, 332830, 401, 451, 552
1560022889746, 332842, 399, 450, 553
1560022889759, 332855, 397, 452, 557
1560022889771, 332868, 398, 452, 555
1560022889784, 332880, 400, 454, 554
1560022889796, 332893, 401, 453, 555
1560022889810, 332906, 402, 452, 551
1560022889822, 332918, 402, 452, 550
1560022889834, 332931, 402, 451, 552
1560022889848, 332944, 399, 451, 554
1560022889860, 332957, 398, 453, 555
1560022889873, 332969, 400, 451, 555
1560022889885, 332982, 402, 452, 553
1560022889897, 332995, 401, 452, 551
1560022889912, 333007, 405, 450, 552
1560022889923, 333020, 403, 452, 551
1560022889937, 333033, 402, 450, 552
1560022889949, 333045, 402, 452, 551
1560022889964, 333058, 399, 451, 551
1560022889975, 333071, 399, 451, 554
1560022889987, 333083, 399, 453, 554
1560022890000, 333096, 402, 451, 552
1560022890013, 333109, 403, 451, 552
1560022890026, 333122, 401, 450, 552
1560022890038, 333134, 400, 452, 552
1560022890051, 333147, 402, 452, 552
1560022890063, 333160, 399, 454, 552
1560022890076, 333172, 398, 452, 553
1560022890089, 333185, 397, 451, 552
1560022890102, 333198, 399, 452, 554
1560022890114, 333210, 401, 453, 552
1560022890126, 333223, 400, 452, 552
1560022890140, 333236, 403, 451, 552
1560022890153, 333249, 401, 452, 552
1560022890165, 333261, 402, 451, 551
1560022890178, 333274, 399, 450, 552
1560022890191, 333287, 399, 451, 554
1560022890203, 333299, 400, 453, 551
1560022890216, 333312, 402, 452, 553
1560022890228, 333325, 402, 450, 552
1560022890242, 333337, 401, 452, 551
