Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1560024412896, 1855972, 375, 450, 503
1560024412908, 1855985, 376, 448, 503
1560024412921, 1855998, 376, 445, 506
1560024412933, 1856010, 376, 446, 506
1560024412945, 1856023, 376, 446, 505
1560024412959, 1856036, 376, 445, 507
1560024412971, 1856048, 375, 446, 504
1560024412985, 1856061, 376, 444, 504
1560024412997, 1856074, 376, 444, 505
1560024413010, 1856086, 376, 445, 504
1560024413023, 1856099, 375, 443, 505
1560024413036, 1856112, 376, 445, 503
1560024413048, 1856125, 376, 446, 503
1560024413061, 1856137, 377, 445, 502
1560024413073, 1856150, 378, 447, 502
1560024413085, 1856163, 378, 449, 501
1560024413099, 1856175, 378, 446, 503
1560024413111, 1856188, 375, 447, 501
1560024413124, 1856201, 376, 448, 503
1560024413137, 1856213, 377, 449, 502
1560024413149, 1856226, 374, 446, 503
1560024413163, 1856239, 376, 446, 503
1560024413175, 1856251, 375, 446, 502
1560024413187, 1856264, 375, 447, 502
1560024413201, 1856277, 376, 446, 503
1560024413213, 1856290, 377, 447, 502
1560024413226, 1856302, 376, 449, 501
1560024413238, 1856315, 375, 449, 503
1560024413250, 1856328, 374, 449, 505
1560024413264, 1856340, 374, 449, 503
1560024413276, 1856353, 376, 447, 504
1560024413289, 1856366, 378, 447, 503
1560024413304, 1856378, 375, 448, 503
1560024413315, 1856391, 374, 447, 503
1560024413326, 1856404, 377, 447, 504
1560024413340, 1856416, 378, 448, 504
1560024413354, 1856429, 375, 447, 502
1560024413366, 1856442, 373, 449, 503
1560024413378, 1856455, 373, 447, 502
1560024413391, 1856467, 374, 449, 502
1560024413404, 1856480, 374, 449, 503
1560024413416, 1856493, 375, 449, 501
1560024413429, 1856505, 374, 449, 500
1560024413442, 1856518, 376, 449, 503
1560024413454, 1856531, 375, 449, 501
1560024413467, 1856543, 373, 448, 503
1560024413479, 1856556, 371, 448, 504
1560024413492, 1856569, 373, 448, 505
1560024413505, 1856582, 373, 447, 503
1560024413518, 1856594, 379, 448, 502
1560024413531, 1856607, 377, 450, 501
1560024413543, 1856620, 377, 449, 501
1560024413556, 1856632, 379, 451, 501
1560024413568, 1856645, 379, 450, 500
1560024413581, 1856658, 377, 450, 499
1560024413593, 1856670, 377, 450, 498
1560024413607, 1856683, 378, 450, 500
1560024413619, 1856696, 374, 452, 496
1560024413632, 1856708, 375, 450, 500
1560024413644, 1856721, 372, 451, 499
1560024413658, 1856734, 371, 451, 501
1560024413670, 1856747, 368, 451, 502
1560024413683, 1856759, 368, 447, 504
1560024413695, 1856772, 366, 448, 505
1560024413709, 1856785, 367, 449, 507
1560024413721, 1856797, 370, 445, 507
1560024413733, 1856810, 371, 443, 503
1560024413746, 1856823, 374, 443, 503
1560024413759, 1856835, 377, 442, 501
1560024413771, 1856848, 379, 443, 500
1560024413784, 1856861, 379, 444, 497
1560024413796, 1856874, 381, 445, 497
1560024413809, 1856886, 381, 445, 497
1560024413822, 1856899, 381, 446, 498
1560024413836, 1856912, 382, 445, 496
1560024413848, 1856924, 382, 443, 494
1560024413860, 1856937, 381, 443, 494
1560024413873, 1856950, 380, 443, 495
1560024413885, 1856962, 381, 442, 497
1560024413899, 1856975, 377, 444, 498
1560024413910, 1856988, 375, 444, 499
