Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1560024799857, 2242925, 388, 432, 449
1560024799869, 2242938, 389, 428, 453
1560024799882, 2242951, 391, 427, 455
1560024799894, 2242963, 387, 423, 456
1560024799907, 2242976, 381, 430, 456
1560024799920, 2242989, 379, 437, 458
1560024799932, 2243001, 380, 439, 459
1560024799945, 2243014, 381, 433, 459
1560024799958, 2243027, 381, 428, 458
1560024799970, 2243040, 380, 428, 457
1560024799983, 2243052, 381, 429, 458
1560024799995, 2243065, 380, 430, 457
1560024800009, 2243078, 382, 434, 460
1560024800021, 2243090, 378, 437, 460
1560024800033, 2243103, 377, 441, 461
1560024800047, 2243116, 376, 441, 464
1560024800059, 2243128, 376, 442, 461
1560024800072, 2243141, 376, 445, 459
1560024800085, 2243154, 376, 446, 461
1560024800097, 2243166, 379, 445, 464
1560024800110, 2243179, 375, 444, 463
1560024800123, 2243192, 375, 438, 464
1560024800135, 2243205, 375, 436, 465
1560024800148, 2243217, 373, 436, 466
1560024800162, 2243230, 377, 433, 464
1560024800174, 2243243, 377, 430, 462
1560024800186, 2243255, 379, 428, 464
1560024800199, 2243268, 381, 426, 464
1560024800212, 2243281, 383, 425, 463
1560024800224, 2243293, 383, 426, 463
1560024800237, 2243306, 384, 425, 462
1560024800250, 2243319, 386, 425, 462
1560024800262, 2243332, 385, 429, 462
1560024800275, 2243344, 383, 428, 462
1560024800287, 2243357, 383, 431, 459
1560024800301, 2243370, 383, 432, 458
1560024800313, 2243382, 385, 434, 460
1560024800326, 2243395, 385, 433, 458
1560024800338, 2243408, 385, 433, 460
1560024800352, 2243420, 384, 435, 459
1560024800365, 2243433, 384, 434, 457
1560024800376, 2243446, 383, 436, 457
1560024800388, 2243458, 382, 436, 456
1560024800402, 2243471, 382, 437, 457
1560024800416, 2243484, 384, 438, 456
1560024800428, 2243497, 384, 439, 455
1560024800440, 2243509, 382, 440, 453
1560024800452, 2243522, 382, 439, 453
1560024800465, 2243535, 381, 437, 453
1560024800478, 2243547, 382, 438, 456
1560024800490, 2243560, 381, 440, 454
1560024800504, 2243573, 380, 440, 454
1560024800517, 2243585, 382, 438, 452
1560024800528, 2243598, 385, 438, 455
1560024800542, 2243611, 383, 438, 454
1560024800554, 2243624, 383, 437, 452
1560024800567, 2243636, 382, 437, 452
1560024800580, 2243649, 383, 435, 454
1560024800592, 2243662, 381, 435, 452
1560024800605, 2243674, 381, 435, 452
1560024800618, 2243687, 381, 433, 451
1560024800632, 2243700, 382, 437, 453
1560024800643, 2243712, 382, 436, 455
1560024800655, 2243725, 384, 434, 454
1560024800670, 2243738, 382, 435, 454
1560024800682, 2243750, 383, 435, 453
1560024800694, 2243763, 382, 435, 455
1560024800707, 2243776, 383, 433, 457
1560024800721, 2243789, 383, 436, 455
1560024800733, 2243801, 383, 435, 456
1560024800745, 2243814, 381, 435, 456
1560024800757, 2243827, 383, 434, 454
1560024800770, 2243839, 384, 433, 454
1560024800783, 2243852, 385, 435, 454
1560024800795, 2243865, 386, 435, 454
1560024800809, 2243877, 385, 436, 454
1560024800821, 2243890, 384, 435, 455
1560024800833, 2243903, 384, 436, 454
1560024800846, 2243916, 383, 439, 458
1560024800859, 2243928, 383, 438, 457
1560024800872, 2243941, 384, 438, 457
1560024800884, 2243954, 383, 438, 456
1560024800897, 2243966, 384, 437, 458
1560024800910, 2243979, 383, 437, 458
1560024800923, 2243992, 382, 437, 460
1560024800935, 2244004, 383, 435, 457
1560024800947, 2244017, 379, 437, 458
1560024800961, 2244030, 383, 435, 457
1560024800973, 2244042, 382, 437, 456
1560024800987, 2244055, 382, 439, 457
1560024800999, 2244068, 381, 440, 457
1560024801011, 2244081, 380, 440, 456
1560024801024, 2244093, 381, 438, 455
1560024801037, 2244106, 383, 438, 455
1560024801049, 2244119, 381, 438, 458
1560024801062, 2244131, 381, 437, 456
1560024801076, 2244144, 383, 438, 455
1560024801087, 2244157, 381, 438, 456
1560024801100, 2244169, 384, 437, 456
1560024801113, 2244182, 381, 438, 458
1560024801126, 2244195, 383, 437, 456
1560024801139, 2244208, 382, 438, 456
1560024801151, 2244220, 384, 435, 458
1560024801164, 2244233, 382, 436, 457
1560024801176, 2244246, 383, 435, 458
1560024801189, 2244258, 384, 435, 454
1560024801202, 2244271, 385, 437, 456
1560024801215, 2244284, 386, 438, 455
1560024801229, 2244296, 384, 438, 458
1560024801239, 2244309, 384, 437, 457
1560024801252, 2244322, 384, 438, 456
1560024801266, 2244334, 383, 438, 456
1560024801279, 2244347, 382, 438, 456
1560024801291, 2244360, 384, 438, 454
1560024801304, 2244373, 384, 438, 458
1560024801316, 2244385, 383, 439, 456
1560024801329, 2244398, 384, 440, 456
1560024801341, 2244411, 383, 440, 456
1560024801355, 2244423, 381, 440, 455
1560024801367, 2244436, 381, 440, 458
1560024801380, 2244449, 381, 440, 455
