Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1560024268077, 1711157, 373, 458, 482
1560024268091, 1711169, 374, 457, 480
1560024268103, 1711182, 375, 458, 479
1560024268115, 1711195, 375, 459, 479
1560024268128, 1711208, 376, 460, 481
1560024268141, 1711220, 377, 459, 482
1560024268154, 1711233, 376, 459, 482
1560024268167, 1711246, 376, 457, 483
1560024268179, 1711258, 375, 462, 482
1560024268192, 1711271, 376, 460, 482
1560024268204, 1711284, 375, 460, 482
1560024268217, 1711296, 378, 462, 480
1560024268230, 1711309, 374, 462, 483
1560024268242, 1711322, 374, 461, 484
1560024268255, 1711334, 375, 463, 483
1560024268267, 1711347, 374, 463, 483
1560024268281, 1711360, 372, 462, 485
1560024268293, 1711373, 371, 460, 485
1560024268305, 1711385, 370, 459, 485
1560024268319, 1711398, 370, 459, 485
1560024268331, 1711411, 368, 458, 483
1560024268345, 1711423, 370, 459, 484
1560024268357, 1711436, 368, 458, 485
1560024268369, 1711449, 369, 457, 483
1560024268382, 1711461, 370, 457, 486
1560024268396, 1711474, 370, 456, 486
1560024268408, 1711487, 371, 454, 486
1560024268420, 1711500, 370, 453, 484
1560024268433, 1711512, 372, 451, 481
1560024268446, 1711525, 373, 451, 480
1560024268458, 1711538, 373, 453, 481
1560024268471, 1711550, 374, 452, 481
1560024268484, 1711563, 376, 451, 479
1560024268496, 1711576, 378, 451, 479
1560024268509, 1711588, 377, 452, 479
1560024268521, 1711601, 379, 451, 478
1560024268535, 1711614, 379, 449, 477
1560024268547, 1711626, 379, 448, 477
1560024268560, 1711639, 380, 449, 477
1560024268572, 1711652, 380, 452, 479
1560024268586, 1711665, 382, 451, 479
1560024268598, 1711677, 379, 451, 482
1560024268611, 1711690, 381, 453, 481
1560024268623, 1711703, 380, 454, 482
1560024268636, 1711715, 379, 456, 482
1560024268648, 1711728, 377, 457, 484
1560024268661, 1711741, 375, 457, 485
1560024268674, 1711753, 375, 458, 487
1560024268687, 1711766, 375, 458, 485
1560024268700, 1711779, 374, 459, 488
1560024268713, 1711791, 373, 460, 490
1560024268725, 1711804, 372, 458, 487
1560024268739, 1711817, 369, 462, 490
1560024268750, 1711830, 369, 461, 491
1560024268763, 1711842, 368, 462, 489
1560024268775, 1711855, 367, 462, 489
1560024268788, 1711868, 368, 465, 489
1560024268801, 1711880, 369, 466, 490
1560024268814, 1711893, 369, 465, 489
1560024268827, 1711906, 370, 466, 488
1560024268838, 1711918, 369, 466, 487
1560024268852, 1711931, 372, 464, 486
1560024268865, 1711944, 373, 464, 485
1560024268876, 1711957, 373, 463, 485
1560024268891, 1711969, 373, 463, 484
1560024268902, 1711982, 374, 461, 484
1560024268915, 1711995, 374, 460, 485
1560024268928, 1712007, 374, 460, 485
1560024268941, 1712020, 372, 458, 484
1560024268954, 1712033, 371, 460, 485
1560024268966, 1712045, 375, 458, 483
1560024268979, 1712058, 374, 458, 483
1560024268992, 1712071, 376, 457, 483
1560024269003, 1712083, 375, 458, 484
1560024269017, 1712096, 373, 457, 483
1560024269029, 1712109, 374, 456, 486
1560024269042, 1712122, 373, 455, 484
1560024269055, 1712134, 376, 454, 484
1560024269068, 1712147, 376, 454, 483
1560024269080, 1712160, 375, 454, 483
1560024269094, 1712172, 373, 452, 485
1560024269106, 1712185, 374, 453, 485
1560024269119, 1712198, 372, 453, 485
1560024269131, 1712210, 373, 451, 488
1560024269143, 1712223, 374, 452, 486
1560024269158, 1712236, 374, 453, 485
1560024269169, 1712249, 373, 455, 486
