Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1559609161720, 1050576, 600, 479, 469
1559609161732, 1050590, 600, 477, 468
1559609161745, 1050603, 599, 477, 469
1559609161759, 1050616, 598, 477, 468
1559609161771, 1050630, 597, 477, 469
1559609161785, 1050642, 598, 477, 470
1559609161797, 1050655, 597, 477, 469
1559609161811, 1050669, 599, 477, 469
1559609161824, 1050682, 600, 478, 469
1559609161837, 1050695, 601, 478, 469
1559609161850, 1050707, 603, 479, 469
1559609161863, 1050721, 604, 478, 467
1559609161877, 1050734, 605, 478, 466
1559609161889, 1050747, 605, 478, 464
1559609161902, 1050761, 605, 479, 464
1559609161915, 1050773, 605, 480, 464
1559609161929, 1050786, 606, 480, 465
1559609161942, 1050800, 606, 479, 463
1559609161955, 1050813, 605, 477, 461
1559609161967, 1050826, 605, 477, 462
1559609161981, 1050839, 604, 478, 458
1559609161994, 1050852, 603, 478, 458
1559609162007, 1050865, 604, 479, 457
1559609162020, 1050878, 603, 480, 459
1559609162033, 1050892, 602, 480, 460
1559609162046, 1050904, 601, 480, 460
1559609162060, 1050917, 600, 478, 459
1559609162073, 1050931, 599, 478, 459
1559609162086, 1050944, 598, 478, 459
1559609162099, 1050957, 598, 478, 461
1559609162112, 1050970, 599, 478, 460
1559609162126, 1050983, 599, 478, 460
1559609162138, 1050996, 600, 477, 459
1559609162152, 1051010, 600, 476, 459
1559609162164, 1051022, 600, 476, 460
1559609162178, 1051035, 600, 477, 461
1559609162191, 1051048, 601, 477, 461
1559609162203, 1051062, 601, 477, 462
1559609162217, 1051075, 601, 477, 463
1559609162230, 1051087, 601, 477, 464
1559609162243, 1051101, 602, 477, 464
1559609162256, 1051114, 601, 476, 463
1559609162269, 1051127, 600, 476, 463
1559609162283, 1051141, 600, 476, 464
1559609162295, 1051153, 600, 476, 465
1559609162308, 1051166, 600, 476, 465
1559609162323, 1051180, 601, 476, 466
1559609162335, 1051193, 601, 476, 465
1559609162348, 1051206, 602, 476, 465
1559609162360, 1051218, 603, 475, 464
1559609162375, 1051232, 603, 475, 463
1559609162387, 1051245, 603, 476, 464
1559609162401, 1051258, 603, 476, 466
1559609162413, 1051272, 604, 477, 467
1559609162427, 1051284, 604, 477, 465
1559609162440, 1051297, 604, 477, 464
1559609162453, 1051311, 603, 477, 465
1559609162466, 1051324, 603, 478, 466
1559609162479, 1051337, 604, 477, 465
1559609162492, 1051350, 603, 477, 465
1559609162505, 1051363, 602, 476, 465
1559609162519, 1051376, 602, 476, 466
1559609162531, 1051389, 603, 475, 465
1559609162545, 1051403, 604, 475, 465
1559609162557, 1051415, 603, 475, 465
1559609162571, 1051428, 603, 475, 465
1559609162584, 1051442, 603, 475, 465
1559609162597, 1051455, 603, 475, 465
1559609162610, 1051468, 602, 476, 466
1559609162625, 1051481, 602, 477, 467
1559609162636, 1051494, 602, 477, 468
1559609162649, 1051507, 603, 476, 466
1559609162662, 1051521, 603, 475, 464
1559609162675, 1051534, 604, 475, 465
1559609162688, 1051546, 603, 475, 465
1559609162702, 1051559, 604, 476, 465
1559609162715, 1051573, 604, 475, 465
1559609162728, 1051586, 604, 475, 465
1559609162741, 1051599, 603, 476, 466
1559609162755, 1051612, 603, 476, 465
1559609162767, 1051625, 603, 475, 464
1559609162781, 1051638, 603, 475, 464
1559609162793, 1051652, 602, 477, 466
1559609162807, 1051665, 601, 478, 468
1559609162820, 1051677, 601, 478, 468
1559609162832, 1051691, 600, 477, 467
1559609162846, 1051704, 600, 477, 467
1559609162859, 1051717, 601, 477, 467
1559609162873, 1051730, 602, 477, 466
1559609162885, 1051743, 602, 476, 466
1559609162898, 1051756, 603, 476, 466
1559609162911, 1051769, 602, 476, 466
