Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1559608766384, 655255, 535, 410, 473
1559608766397, 655268, 534, 411, 474
1559608766410, 655281, 534, 412, 475
1559608766423, 655294, 534, 411, 475
1559608766436, 655307, 535, 410, 474
1559608766450, 655321, 535, 410, 473
1559608766462, 655334, 535, 410, 473
1559608766475, 655346, 535, 410, 473
1559608766488, 655360, 534, 409, 473
1559608766501, 655373, 535, 410, 473
1559608766514, 655386, 535, 410, 474
1559608766527, 655398, 535, 410, 474
1559608766541, 655412, 534, 410, 475
1559608766553, 655425, 534, 410, 475
1559608766567, 655438, 535, 411, 474
1559608766581, 655451, 535, 411, 474
1559608766593, 655464, 535, 410, 473
1559608766606, 655477, 534, 408, 473
1559608766619, 655491, 534, 408, 473
1559608766632, 655503, 534, 410, 475
1559608766645, 655516, 534, 411, 476
1559608766658, 655529, 534, 411, 476
1559608766672, 655543, 534, 411, 475
1559608766685, 655555, 534, 410, 474
1559608766696, 655568, 534, 410, 475
1559608766710, 655582, 534, 411, 476
1559608766724, 655595, 533, 411, 476
1559608766736, 655607, 532, 411, 476
1559608766749, 655621, 532, 411, 477
1559608766763, 655634, 532, 411, 478
1559608766776, 655647, 532, 412, 478
1559608766789, 655661, 532, 411, 477
1559608766802, 655673, 533, 411, 475
1559608766814, 655686, 534, 411, 474
1559608766829, 655699, 534, 410, 474
1559608766841, 655713, 534, 411, 475
1559608766854, 655725, 534, 412, 476
1559608766868, 655738, 534, 412, 476
1559608766882, 655752, 534, 411, 475
1559608766894, 655765, 535, 411, 473
1559608766906, 655777, 535, 411, 472
1559608766918, 655791, 536, 410, 472
1559608766933, 655804, 536, 410, 472
1559608766946, 655817, 536, 410, 472
1559608766959, 655830, 536, 411, 472
1559608766971, 655843, 536, 411, 472
1559608766985, 655856, 537, 411, 472
1559608766998, 655869, 537, 411, 473
1559608767011, 655882, 538, 411, 472
1559608767024, 655895, 537, 411, 472
1559608767037, 655908, 537, 411, 472
1559608767049, 655922, 537, 412, 473
1559608767063, 655935, 537, 413, 475
1559608767076, 655947, 537, 412, 474
1559608767090, 655961, 536, 411, 473
1559608767102, 655974, 536, 410, 473
1559608767116, 655987, 535, 410, 474
1559608767129, 656000, 536, 410, 475
1559608767141, 656013, 536, 411, 474
1559608767155, 656026, 536, 411, 474
1559608767168, 656039, 536, 411, 474
1559608767181, 656052, 536, 411, 474
1559608767194, 656065, 536, 411, 474
1559608767207, 656078, 535, 411, 475
1559608767220, 656092, 535, 411, 474
1559608767234, 656104, 535, 410, 473
1559608767246, 656117, 534, 410, 473
1559608767259, 656131, 534, 411, 474
1559608767272, 656144, 534, 411, 474
1559608767285, 656156, 534, 411, 474
1559608767298, 656169, 534, 410, 474
1559608767311, 656183, 534, 410, 474
1559608767324, 656196, 534, 410, 474
1559608767338, 656208, 534, 411, 475
1559608767351, 656222, 534, 411, 475
1559608767363, 656235, 534, 411, 475
1559608767378, 656248, 535, 411, 475
1559608767389, 656261, 534, 411, 474
1559608767403, 656274, 534, 410, 473
1559608767416, 656287, 534, 410, 474
1559608767429, 656301, 534, 410, 474
1559608767443, 656313, 534, 411, 475
1559608767455, 656326, 534, 411, 475
1559608767469, 656339, 534, 411, 475
1559608767483, 656353, 534, 411, 475
1559608767494, 656366, 535, 412, 476
1559608767508, 656378, 534, 412, 476
1559608767521, 656392, 534, 410, 475
1559608767534, 656405, 535, 410, 473
1559608767546, 656418, 536, 410, 473
1559608767560, 656431, 535, 409, 473
1559608767573, 656444, 534, 410, 474
1559608767585, 656457, 534, 412, 476
1559608767598, 656471, 535, 412, 477
1559608767612, 656483, 535, 412, 476
1559608767626, 656496, 535, 411, 474
1559608767638, 656509, 535, 409, 473
1559608767650, 656523, 534, 410, 474
1559608767664, 656535, 535, 410, 474
1559608767678, 656548, 536, 411, 474
1559608767690, 656562, 535, 411, 474
1559608767704, 656575, 535, 411, 474
1559608767716, 656587, 537, 410, 473
1559608767729, 656601, 537, 411, 473
1559608767743, 656614, 537, 412, 474
1559608767755, 656627, 536, 411, 474
1559608767769, 656640, 536, 410, 474
1559608767782, 656653, 536, 410, 473
1559608767795, 656666, 536, 410, 472
1559608767807, 656679, 536, 411, 473
1559608767821, 656692, 536, 412, 474
1559608767834, 656705, 536, 412, 474
1559608767847, 656718, 535, 412, 474
1559608767861, 656732, 536, 412, 473
1559608767875, 656745, 536, 411, 472
1559608767886, 656757, 536, 411, 471
1559608767900, 656771, 536, 411, 471
1559608767912, 656784, 536, 411, 472
1559608767927, 656797, 536, 412, 474
1559608767939, 656809, 535, 412, 474
1559608767951, 656823, 535, 412, 475
1559608767965, 656836, 536, 412, 475
1559608767978, 656849, 536, 411, 474
1559608767991, 656862, 537, 411, 475
1559608768004, 656875, 536, 411, 474
1559608768016, 656888, 536, 411, 475
1559608768030, 656902, 536, 411, 475
1559608768043, 656914, 536, 410, 474
1559608768056, 656927, 535, 410, 475
1559608768069, 656941, 535, 410, 474
1559608768083, 656954, 535, 411, 475
1559608768096, 656966, 534, 411, 475
1559608768108, 656979, 534, 411, 475
1559608768122, 656993, 534, 411, 475
1559608768135, 657006, 534, 412, 476
1559608768147, 657018, 535, 412, 476
1559608768161, 657032, 535, 411, 474
1559608768174, 657045, 534, 410, 473
1559608768187, 657058, 534, 409, 473
1559608768200, 657071, 534, 410, 473
1559608768213, 657084, 534, 410, 473
1559608768227, 657097, 535, 411, 474
1559608768239, 657111, 535, 412, 473
1559608768253, 657124, 535, 411, 473
1559608768265, 657136, 535, 411, 473
1559608768278, 657149, 535, 411, 474
1559608768291, 657163, 536, 411, 473
1559608768304, 657176, 535, 410, 472
1559608768317, 657188, 535, 410, 472
1559608768330, 657202, 535, 411, 474
1559608768343, 657215, 535, 412, 475
1559608768358, 657228, 535, 411, 475
1559608768370, 657241, 535, 411, 474
1559608768382, 657254, 536, 411, 474
1559608768396, 657267, 536, 410, 474
1559608768409, 657281, 536, 410, 474
1559608768423, 657293, 536, 410, 474
1559608768435, 657306, 536, 411, 474
1559608768449, 657319, 536, 411, 475
1559608768461, 657333, 536, 410, 475
1559608768473, 657345, 536, 411, 475
1559608768486, 657358, 535, 411, 474
