Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1559609292573, 1181427, 508, 403, 550
1559609292586, 1181440, 508, 404, 550
1559609292600, 1181453, 507, 405, 550
1559609292612, 1181466, 508, 405, 550
1559609292627, 1181479, 508, 406, 549
1559609292639, 1181493, 508, 406, 548
1559609292651, 1181505, 508, 406, 548
1559609292665, 1181518, 508, 406, 548
1559609292679, 1181532, 507, 405, 548
1559609292691, 1181545, 506, 405, 548
1559609292705, 1181558, 505, 405, 549
1559609292717, 1181571, 505, 405, 550
1559609292731, 1181584, 504, 404, 551
1559609292745, 1181597, 503, 404, 552
1559609292757, 1181611, 503, 404, 553
1559609292770, 1181624, 504, 405, 553
1559609292783, 1181636, 504, 405, 552
1559609292796, 1181649, 505, 406, 552
1559609292810, 1181663, 507, 406, 551
1559609292822, 1181676, 508, 406, 550
1559609292836, 1181689, 508, 406, 549
1559609292849, 1181702, 509, 405, 549
1559609292861, 1181715, 509, 404, 549
1559609292876, 1181728, 509, 403, 549
1559609292888, 1181742, 508, 402, 549
1559609292901, 1181755, 508, 402, 550
1559609292914, 1181767, 508, 402, 550
1559609292927, 1181780, 508, 403, 550
1559609292940, 1181794, 509, 404, 550
1559609292953, 1181807, 509, 405, 550
1559609292966, 1181820, 508, 405, 550
1559609292980, 1181833, 508, 406, 551
1559609292994, 1181846, 507, 406, 551
1559609293007, 1181859, 507, 406, 552
1559609293019, 1181873, 506, 406, 553
1559609293032, 1181886, 506, 407, 553
1559609293046, 1181898, 506, 407, 553
1559609293059, 1181912, 507, 406, 553
1559609293071, 1181925, 507, 406, 553
1559609293085, 1181938, 508, 405, 553
1559609293098, 1181952, 508, 405, 552
1559609293111, 1181964, 508, 405, 552
1559609293124, 1181977, 509, 405, 551
1559609293136, 1181990, 509, 405, 551
1559609293150, 1182004, 509, 405, 551
1559609293163, 1182017, 510, 406, 551
1559609293176, 1182029, 510, 406, 551
1559609293190, 1182043, 510, 405, 551
1559609293203, 1182056, 510, 405, 551
1559609293215, 1182069, 509, 405, 552
1559609293229, 1182083, 509, 405, 552
1559609293243, 1182095, 510, 405, 552
1559609293256, 1182108, 510, 405, 552
1559609293269, 1182121, 511, 405, 552
1559609293281, 1182135, 511, 406, 552
1559609293296, 1182148, 510, 405, 551
1559609293307, 1182160, 510, 405, 551
1559609293321, 1182174, 510, 405, 552
1559609293333, 1182187, 510, 405, 552
1559609293347, 1182200, 509, 406, 553
1559609293361, 1182214, 508, 406, 553
1559609293373, 1182226, 509, 406, 553
1559609293386, 1182239, 509, 406, 553
1559609293399, 1182253, 509, 406, 552
1559609293413, 1182266, 509, 407, 552
1559609293425, 1182279, 509, 407, 552
1559609293438, 1182291, 509, 407, 552
1559609293452, 1182305, 508, 407, 552
1559609293465, 1182318, 508, 406, 552
1559609293478, 1182331, 508, 405, 552
1559609293491, 1182345, 508, 405, 552
1559609293503, 1182357, 508, 405, 553
1559609293516, 1182370, 508, 404, 553
1559609293530, 1182384, 509, 404, 553
1559609293544, 1182397, 509, 403, 553
1559609293557, 1182410, 509, 402, 553
1559609293569, 1182423, 509, 401, 554
1559609293583, 1182436, 509, 400, 554
1559609293596, 1182449, 509, 400, 555
1559609293609, 1182462, 510, 401, 556
1559609293621, 1182476, 510, 402, 556
1559609293635, 1182488, 511, 402, 556
1559609293649, 1182501, 511, 403, 555
1559609293661, 1182515, 511, 403, 555
1559609293675, 1182528, 511, 404, 555
1559609293688, 1182541, 510, 405, 554
1559609293700, 1182554, 509, 405, 554
1559609293713, 1182567, 508, 406, 553
1559609293727, 1182580, 507, 406, 553
1559609293740, 1182594, 507, 407, 553
1559609293753, 1182607, 507, 407, 553
1559609293767, 1182619, 507, 408, 553
1559609293780, 1182632, 506, 408, 553
1559609293792, 1182646, 506, 407, 552
1559609293805, 1182659, 506, 407, 552
1559609293819, 1182672, 506, 407, 553
1559609293832, 1182685, 505, 407, 553
1559609293845, 1182698, 505, 407, 553
1559609293858, 1182711, 506, 407, 553
1559609293872, 1182725, 506, 407, 554
1559609293884, 1182738, 506, 407, 553
1559609293898, 1182750, 506, 406, 553
1559609293911, 1182764, 506, 406, 553
1559609293924, 1182777, 506, 406, 553
1559609293937, 1182790, 506, 406, 554
1559609293950, 1182803, 506, 406, 554
1559609293963, 1182816, 505, 406, 553
1559609293976, 1182829, 506, 406, 553
1559609293990, 1182842, 506, 406, 552
1559609294002, 1182856, 506, 406, 552
1559609294015, 1182869, 506, 406, 552
1559609294029, 1182881, 505, 406, 551
1559609294041, 1182895, 505, 407, 551
1559609294055, 1182908, 504, 409, 551
1559609294068, 1182921, 504, 409, 550
1559609294080, 1182935, 502, 410, 551
1559609294094, 1182947, 500, 410, 551
1559609294108, 1182960, 498, 410, 552
1559609294120, 1182973, 497, 410, 552
1559609294133, 1182987, 496, 410, 552
1559609294147, 1183000, 495, 410, 552
1559609294160, 1183012, 496, 410, 553
1559609294173, 1183026, 497, 410, 553
1559609294186, 1183039, 497, 411, 553
1559609294199, 1183052, 498, 410, 553
1559609294212, 1183066, 499, 409, 552
1559609294226, 1183078, 500, 408, 552
1559609294238, 1183091, 501, 407, 552
1559609294252, 1183105, 501, 406, 551
1559609294265, 1183118, 500, 405, 552
1559609294277, 1183131, 500, 405, 553
1559609294292, 1183143, 500, 404, 554
1559609294304, 1183157, 500, 403, 554
1559609294317, 1183170, 500, 402, 555
1559609294329, 1183183, 500, 400, 554
1559609294343, 1183197, 501, 399, 554
1559609294356, 1183209, 501, 399, 553
1559609294368, 1183222, 502, 399, 553
1559609294382, 1183236, 502, 400, 553
1559609294395, 1183249, 502, 400, 553
1559609294408, 1183262, 502, 401, 552
1559609294421, 1183275, 502, 402, 552
1559609294435, 1183288, 502, 403, 552
1559609294447, 1183301, 502, 403, 551
1559609294461, 1183314, 502, 402, 550
1559609294474, 1183328, 503, 402, 550
1559609294488, 1183340, 504, 403, 549
1559609294499, 1183353, 504, 404, 549
1559609294513, 1183367, 504, 404, 549
1559609294527, 1183380, 504, 404, 549
1559609294540, 1183393, 504, 404, 549
1559609294553, 1183406, 504, 404, 549
1559609294566, 1183419, 504, 404, 550
1559609294580, 1183432, 504, 405, 550
1559609294592, 1183446, 504, 405, 550
