Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1559608996941, 885805, 547, 404, 479
1559608996954, 885818, 550, 403, 479
1559608996967, 885830, 552, 403, 479
1559608996980, 885843, 554, 403, 477
1559608996992, 885857, 556, 403, 476
1559608997006, 885870, 557, 405, 474
1559608997019, 885882, 559, 408, 475
1559608997033, 885896, 559, 411, 475
1559608997045, 885909, 559, 413, 475
1559608997059, 885922, 558, 414, 474
1559608997071, 885935, 557, 415, 474
1559608997085, 885948, 556, 416, 474
1559608997098, 885961, 554, 416, 476
1559608997111, 885975, 552, 415, 477
1559608997125, 885988, 550, 413, 477
1559608997136, 886000, 549, 412, 477
1559608997149, 886013, 548, 411, 477
1559608997163, 886027, 547, 411, 477
1559608997176, 886040, 546, 410, 476
1559608997189, 886052, 546, 410, 474
1559608997202, 886066, 546, 410, 474
1559608997216, 886079, 545, 411, 475
1559608997229, 886092, 544, 413, 476
1559608997241, 886105, 543, 414, 478
1559608997255, 886118, 542, 416, 480
1559608997267, 886131, 540, 417, 482
1559608997281, 886145, 538, 417, 484
1559608997294, 886157, 538, 416, 484
1559608997307, 886170, 537, 416, 483
1559608997319, 886183, 537, 416, 481
1559608997333, 886197, 539, 415, 478
1559608997346, 886210, 540, 414, 477
1559608997358, 886222, 540, 412, 477
1559608997372, 886236, 541, 410, 477
1559608997385, 886249, 542, 408, 477
1559608997399, 886262, 542, 406, 478
1559608997411, 886275, 543, 407, 479
1559608997425, 886288, 544, 409, 481
1559608997438, 886301, 546, 411, 480
1559608997450, 886315, 547, 411, 477
1559608997464, 886327, 548, 411, 474
1559608997477, 886340, 549, 412, 474
1559608997490, 886353, 550, 414, 473
1559608997503, 886367, 551, 416, 473
1559608997515, 886379, 551, 419, 473
1559608997530, 886392, 551, 420, 474
1559608997543, 886406, 550, 420, 474
1559608997555, 886419, 548, 418, 474
1559608997568, 886431, 548, 415, 474
1559608997583, 886445, 547, 411, 474
1559608997594, 886458, 546, 408, 475
1559608997608, 886471, 545, 406, 477
1559608997620, 886483, 544, 404, 479
1559608997633, 886497, 543, 403, 481
1559608997646, 886510, 542, 401, 482
1559608997660, 886523, 541, 401, 483
1559608997674, 886537, 541, 402, 485
1559608997685, 886549, 542, 405, 485
1559608997698, 886562, 543, 408, 486
1559608997712, 886576, 544, 410, 484
1559608997726, 886589, 546, 413, 482
1559608997738, 886601, 548, 416, 482
1559608997751, 886615, 550, 418, 481
1559608997764, 886628, 550, 418, 480
1559608997777, 886641, 551, 417, 477
1559608997791, 886653, 551, 416, 475
1559608997803, 886667, 551, 416, 473
1559608997816, 886680, 551, 417, 474
1559608997831, 886693, 550, 419, 476
1559608997843, 886706, 549, 419, 477
1559608997855, 886719, 547, 419, 479
1559608997869, 886732, 546, 417, 479
1559608997883, 886746, 546, 416, 479
1559608997895, 886758, 545, 414, 480
1559608997908, 886771, 544, 413, 480
1559608997921, 886785, 544, 413, 480
1559608997934, 886798, 545, 413, 481
1559608997947, 886811, 546, 412, 481
1559608997960, 886823, 546, 412, 481
1559608997973, 886837, 547, 410, 480
1559608997987, 886850, 549, 409, 479
1559608998000, 886863, 550, 408, 478
1559608998013, 886876, 551, 407, 477
1559608998026, 886889, 552, 406, 475
1559608998038, 886902, 553, 406, 473
1559608998051, 886916, 554, 408, 473
1559608998066, 886928, 555, 411, 473
1559608998077, 886941, 556, 414, 474
1559608998091, 886955, 556, 417, 474
1559608998104, 886968, 555, 418, 475
1559608998116, 886980, 554, 419, 475
1559608998129, 886993, 554, 419, 474
1559608998143, 887007, 554, 419, 474
1559608998157, 887020, 555, 418, 473
1559608998169, 887032, 555, 416, 473
1559608998183, 887046, 553, 414, 474
1559608998196, 887059, 551, 411, 475
1559608998209, 887072, 547, 408, 477
1559608998221, 887085, 545, 406, 479
1559608998235, 887098, 542, 404, 481
1559608998249, 887111, 540, 404, 483
1559608998261, 887124, 538, 405, 484
1559608998274, 887138, 536, 406, 487
1559608998287, 887150, 535, 408, 489
1559608998301, 887163, 536, 409, 488
1559608998313, 887177, 537, 411, 487
1559608998327, 887190, 539, 411, 483
1559608998340, 887202, 542, 412, 480
1559608998352, 887216, 545, 413, 476
1559608998365, 887229, 547, 414, 474
1559608998379, 887242, 548, 416, 473
1559608998392, 887255, 549, 418, 474
1559608998404, 887268, 549, 419, 475
1559608998418, 887281, 548, 418, 475
1559608998431, 887294, 547, 417, 476
1559608998444, 887307, 546, 416, 478
1559608998456, 887320, 545, 415, 479
1559608998470, 887333, 546, 413, 478
1559608998484, 887347, 547, 410, 476
1559608998496, 887359, 547, 406, 473
1559608998509, 887372, 548, 403, 470
1559608998522, 887386, 548, 401, 469
1559608998535, 887399, 547, 402, 470
1559608998548, 887412, 546, 405, 474
1559608998562, 887425, 545, 408, 476
1559608998575, 887438, 543, 410, 478
1559608998587, 887451, 542, 412, 478
1559608998601, 887464, 541, 413, 477
1559608998613, 887477, 540, 413, 477
1559608998628, 887490, 538, 413, 475
1559608998641, 887503, 538, 413, 475
1559608998653, 887517, 537, 413, 477
1559608998666, 887529, 536, 413, 478
1559608998679, 887542, 535, 413, 479
1559608998693, 887556, 534, 413, 481
1559608998705, 887569, 533, 412, 482
1559608998719, 887581, 533, 411, 481
1559608998732, 887595, 534, 411, 481
1559608998745, 887608, 536, 412, 482
1559608998757, 887621, 537, 413, 482
1559608998771, 887633, 539, 413, 481
1559608998783, 887647, 540, 412, 479
1559608998797, 887660, 541, 412, 477
1559608998809, 887673, 543, 411, 477
1559608998823, 887687, 544, 409, 474
1559608998837, 887699, 545, 408, 471
1559608998848, 887712, 547, 408, 471
1559608998862, 887726, 548, 408, 471
1559608998875, 887739, 548, 408, 474
